county,model,mae_change,mase,dir_acc,mae_price,smape
Uasin-Gishu,persistence,6.367083333333333,0.5156627947994356,0.0,6.367083333333333,15.915120535786512
Kiambu,persistence,2.185555555555554,0.6526644103789236,0.0,2.185555555555554,5.866859123376903
Kirinyaga,persistence,2.0623351648351678,0.6237917545744426,0.0,2.0623351648351678,5.881684921650596
Nairobi,persistence,4.956283738191634,0.5291868597590385,0.0,4.956283738191634,13.403816406993787
Uasin-Gishu,persistence,5.330185185185183,0.5362306452266901,0.0,5.330185185185183,14.193498286827158
Kiambu,persistence,0.5360952380952365,0.6395621875473421,0.0,0.5360952380952365,1.2872392482963244
Uasin-Gishu,persistence,1.436428174603175,0.8210811467674416,0.0,1.436428174603175,3.3590745107678623
Kiambu,persistence,0.9470000000000001,0.6206762793932742,0.0,0.9470000000000001,2.2202720195603485
Kirinyaga,persistence,2.367271062271062,0.7881781109064354,0.0,2.367271062271062,5.316675707044665
Nairobi,persistence,2.4486528207774327,0.6513286657724187,0.0,2.4486528207774327,4.941762004907893
Uasin-Gishu,persistence,1.8542075702075702,0.6568478293113889,0.0,1.8542075702075702,3.989097036221488
